ID,firstName,lastName,email,phoneNumber,address_ID
02BD2137-0890-1EEA-A6C2-BB55C19787FB,Sally,Spring,sally.spring@itelo.info,+1 224 374 524,02BD2137-0890-1EEA-A6C2-BB55C18DE7FB
02BD2137-0890-1EEA-A6C2-BB55C197A7FB,Susan,Summer,susan.summer@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C18E07FB
02BD2137-0890-1EEA-A6C2-BB55C197C7FB,Franco,Fall,franco.fall@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C18E27FB
02BD2137-0890-1EEA-A6C2-BB55C197E7FB,Walter,Winter,walter.winter@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C18E47FB
02BD2137-0890-1EEA-A6C2-BB55C19807FB,Maria,Hicks,maria.hicks@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C18E67FB
02BD2137-0890-1EEA-A6C2-BB55C19827FB,John,Dash,john.dash@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C18E87FB
02BD2137-0890-1EEA-A6C2-BB55C19847FB,Viola,Gains,viola.gains@itelo.info,+1 224 374 522,02BD2137-0890-1EEA-A6C2-BB55C18EA7FB
02BD2137-0890-1EEA-A6C2-BB55C19867FB,Randy,Gordon,randy.gordon@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C18EC7FB
02BD2137-0890-1EEA-A6C2-BB55C19887FB,Paul,Burke,paul.burke@itelo.info,+1 224 374 523,02BD2137-0890-1EEA-A6C2-BB55C18EE7FB
02BD2137-0890-1EEA-A6C2-BB55C198A7FB,Michael,Miller,michael.miller@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C18F07FB
02BD2137-0890-1EEA-A6C2-BB55C198C7FB,John,Nicols,john.nicols@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C18F27FB
02BD2137-0890-1EEA-A6C2-BB55C198E7FB,John,Smith,john.smith@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C18F47FB
02BD2137-0890-1EEA-A6C2-BB55C19907FB,Joanne,Rush,joanne.rush@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C18F67FB
02BD2137-0890-1EEA-A6C2-BB55C19927FB,Sue,Bay,sue.bay@itelo.info,+1 224 374 525,02BD2137-0890-1EEA-A6C2-BB55C18F87FB
02BD2137-0890-1EEA-A6C2-BB55C19947FB,James,Field,james.field@itelo.info,+1 224 374 526,02BD2137-0890-1EEA-A6C2-BB55C18FA7FB
02BD2137-0890-1EEA-A6C2-BB55C19967FB,Hermann,Hecker,hermann.hecker@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C18FC7FB
02BD2137-0890-1EEA-A6C2-BB55C19987FB,Rudolf,Platte,rudolf.platte@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C18FE7FB
02BD2137-0890-1EEA-A6C2-BB55C199A7FB,Al,Wallace,al.wallace@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C19007FB
02BD2137-0890-1EEA-A6C2-BB55C199C7FB,Jonathan,East,jonathan.east@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C19027FB
02BD2137-0890-1EEA-A6C2-BB55C199E7FB,James,Smith,james.smith@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C19047FB
02BD2137-0890-1EEA-A6C2-BB55C19A07FB,Megan,Wang,megan.wang@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C19067FB
02BD2137-0890-1EEA-A6C2-BB55C19A27FB,Anna,Lerch,anna.lerch@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C19087FB
02BD2137-0890-1EEA-A6C2-BB55C19A47FB,Clark,Kent,clark.kent@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C190A7FB
02BD2137-0890-1EEA-A6C2-BB55C19A67FB,Catherine,Jones,catherine.jones@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C190C7FB
02BD2137-0890-1EEA-A6C2-BB55C19A87FB,Peter,Douglas,peter.douglas@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C190E7FB
02BD2137-0890-1EEA-A6C2-BB55C19AA7FB,Frank,Brown,frank.brown@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C19107FB
02BD2137-0890-1EEA-A6C2-BB55C19AC7FB,Barbara,Ingalls,barbara.ingalls@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C19127FB
02BD2137-0890-1EEA-A6C2-BB55C19AE7FB,Peter,Fuchs,peter.fuchs@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C19147FB
02BD2137-0890-1EEA-A6C2-BB55C19B07FB,Mary,Watson,mary.watson@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C19167FB
02BD2137-0890-1EEA-A6C2-BB55C19B27FB,Karl,Kessler,karl.kessler@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C19187FB
02BD2137-0890-1EEA-A6C2-BB55C19B47FB,Nora,Dwyer,nora.dwyer@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C191A7FB
02BD2137-0890-1EEA-A6C2-BB55C19B67FB,Drew,Smith,smith.Drew@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C191C7FB
02BD2137-0890-1EEA-A6C2-BB55C19B87FB,Richard,Fisher,fisher.richard@itelo.info,,02BD2137-0890-1EEA-A6C2-BB55C191E7FB
